mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0468752384185791,7.103001264615198e-05,0.006270027160644532,0.007679251407091334,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.9214285714285714,0.8714285714285714,0.9142857142857143,0.8857142857142857,0.9642857142857143,0.9114285714285714,0.03213491965486284,13
0.06560420989990234,0.00626151850928244,0.0062504768371582035,0.007655239463427198,5,75,"{'max_depth': 5, 'n_estimators': 75}",0.9214285714285714,0.8714285714285714,0.9071428571428571,0.8928571428571429,0.95,0.9085714285714286,0.02649605284427341,14
0.08436856269836426,0.007660015727549604,0.00938115119934082,0.0076596850051877064,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.9357142857142857,0.8714285714285714,0.9071428571428571,0.8928571428571429,0.9571428571428572,0.9128571428571428,0.03043896536094646,11
0.17498068809509276,0.0062101841274957905,0.015644216537475587,3.9755066633812706e-05,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.9285714285714286,0.8714285714285714,0.9142857142857143,0.8785714285714286,0.9714285714285714,0.9128571428571428,0.036253078686998626,11
0.2593692302703857,0.007661825125566114,0.025005674362182616,0.007659490636245378,5,300,"{'max_depth': 5, 'n_estimators': 300}",0.9214285714285714,0.8714285714285714,0.9142857142857143,0.8714285714285714,0.9642857142857143,0.9085714285714286,0.034817307448439826,14
0.04687480926513672,1.8200194101512165e-05,0.006250143051147461,0.007654830650698251,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9214285714285714,0.8928571428571429,0.9214285714285714,0.9,0.9642857142857143,0.9199999999999999,0.024907993963089556,10
0.07188053131103515,0.007672131249735277,0.009375905990600586,0.007655395220561504,10,75,"{'max_depth': 10, 'n_estimators': 75}",0.9357142857142857,0.9,0.9357142857142857,0.9071428571428571,0.9571428571428572,0.927142857142857,0.020898198340468282,7
0.10311288833618164,0.007656165837460632,0.006255817413330078,0.007661784946588514,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9428571428571428,0.9,0.9428571428571428,0.8928571428571429,0.9571428571428572,0.927142857142857,0.025714285714285703,7
0.20322604179382325,0.0100421889525645,0.01563100814819336,1.285905252066948e-05,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.95,0.9071428571428571,0.9428571428571428,0.8928571428571429,0.9642857142857143,0.9314285714285713,0.026954231805875993,2
0.3313146114349365,0.023101747650257937,0.028123140335083008,0.006264216377006229,10,300,"{'max_depth': 10, 'n_estimators': 300}",0.95,0.8928571428571429,0.9357142857142857,0.9,0.9642857142857143,0.9285714285714285,0.027847983842311307,5
0.06250004768371582,8.660121602996819e-05,0.0,0.0,15,50,"{'max_depth': 15, 'n_estimators': 50}",0.9285714285714286,0.9,0.9285714285714286,0.8928571428571429,0.9714285714285714,0.9242857142857142,0.02770102775666472,9
0.07812585830688476,6.657585990462847e-05,0.009374141693115234,0.007653954681664668,15,75,"{'max_depth': 15, 'n_estimators': 75}",0.9142857142857143,0.9,0.95,0.9142857142857143,0.9642857142857143,0.9285714285714285,0.024327694808466287,5
0.10937495231628418,3.210782216936574e-06,0.0031250953674316407,0.006250190734863281,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.9428571428571428,0.9,0.95,0.9,0.9642857142857143,0.9314285714285713,0.026572964625340378,2
0.2062654972076416,0.006243689879925581,0.015610694885253906,1.3181766299465256e-05,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.9428571428571428,0.9,0.95,0.8928571428571429,0.9642857142857143,0.9299999999999999,0.02835633320182742,4
0.2968489646911621,3.480761015275653e-05,0.02502470016479492,0.0076368284358237955,15,300,"{'max_depth': 15, 'n_estimators': 300}",0.9428571428571428,0.9,0.9428571428571428,0.9071428571428571,0.9714285714285714,0.9328571428571427,0.026186146828319073,1
